David Guetta & Bebe Rexha;I'm Good (Blue);imgood.jpg;4;4;3;6-4-4
Metro Boomin, The Weeknd & 21 Savage;Creepin';creepin.jpg;5;6;4;8-7-6-5
Harry Styles;As It Was;asitwas.jpg;8;7;12;8-4-3-2-1-1-1-4-5-6-7-8
Taylor Swift;Anti-Hero;antihero.jpg;1;1;12;6-4-3-2-1-1-1-1-1-1-1-1
Steve Lacy;Bad Habit;badhabit.jpg;9;9;1;9
Zach Bryan;Something In The Orange;stintheorange.jpg;10;11;2;10-10
SZA;Kill Bill;killbill.jpg;2;3;5;9-7-4-3-2
Sam Smith & Kim Petras;Unholy;unholy.jpg;3;2;8;9-8-7-3-2-1-2-3
The Weeknd;Die For You;dieforyou.jpg;6;8;5;10-9-8-8-6
Drake & 21 Savage;Rich Flex;richflex.jpg;7;5;10;8-4-3-2-1-1-1-4-5-7
